127.0.0.1, 2019-09-13 10:40:45, GET, /locadora/default/ver_filmes, HTTP/1.1, 200, 0.020733
127.0.0.1, 2019-09-13 10:40:45, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.000530
127.0.0.1, 2019-09-13 10:40:50, GET, /locadora/default/ver_filmes, HTTP/1.1, 200, 0.017288
127.0.0.1, 2019-09-13 10:40:50, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.000525
127.0.0.1, 2019-09-13 10:40:51, GET, /locadora/default/ver_filmes, HTTP/1.1, 200, 0.023365
127.0.0.1, 2019-09-13 10:40:52, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.000473
127.0.0.1, 2019-09-13 10:40:57, GET, /locadora/default/ver_filmes, HTTP/1.1, 200, 0.020657
127.0.0.1, 2019-09-13 10:40:58, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.002155
127.0.0.1, 2019-09-13 10:41:33, GET, /locadora/default/ver_filmes, HTTP/1.1, 200, 0.020309
127.0.0.1, 2019-09-13 10:41:33, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.000522
127.0.0.1, 2019-09-13 10:41:41, GET, /locadora/default/ver_filmes, HTTP/1.1, 200, 0.045717
127.0.0.1, 2019-09-13 10:41:41, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.000564
127.0.0.1, 2019-09-13 10:46:57, GET, /locadora/default/ver_filmes, HTTP/1.1, 200, 0.030458
127.0.0.1, 2019-09-13 10:46:57, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.000533
127.0.0.1, 2019-09-13 10:47:09, GET, /locadora/default/ver_filmes, HTTP/1.1, 200, 0.019838
127.0.0.1, 2019-09-13 10:47:09, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.000430
127.0.0.1, 2019-09-13 10:47:10, GET, /locadora/default/ver_filmes, HTTP/1.1, 200, 0.023506
127.0.0.1, 2019-09-13 10:47:10, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.000386
127.0.0.1, 2019-09-13 10:47:10, GET, /locadora/default/ver_filmes, HTTP/1.1, 200, 0.020101
127.0.0.1, 2019-09-13 10:47:11, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.000655
127.0.0.1, 2019-09-13 10:47:18, GET, /locadora/default/ver_filmes, HTTP/1.1, 500, 0.070050
127.0.0.1, 2019-09-13 10:47:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000306
127.0.0.1, 2019-09-13 10:47:43, GET, /locadora/default/ver_filmes, HTTP/1.1, 200, 0.036744
